Date;Transmitter;Window;
;;Maximum [h];Effective [h]
2016-06-03;ICV 20.3;12;12
2016-06-02;DHO 23.4;12;12
2016-06-02;GBZ 19.6;12;12
2016-06-02;GQD 22.1;12;12
2016-06-02;HWU 21.8;12;12
2016-06-02;ICV 20.3;12;12
2016-06-01;DHO 23.4;12;12
2016-06-01;GBZ 19.6;12;12
2016-06-01;GQD 22.1;12;12
2016-06-01;HWU 21.8;12;12
2016-06-01;ICV 20.3;12;12
2016-05-31;DHO 23.4;12;12
2016-05-31;GBZ 19.6;12;12
2016-05-31;GQD 22.1;12;12
2016-05-31;HWU 21.8;12;12
2016-05-31;ICV 20.3;12;12
2016-05-30;DHO 23.4;12;12
2016-05-30;GBZ 19.6;12;12
2016-05-30;GQD 22.1;12;12
2016-05-30;HWU 21.8;12;12
2016-05-30;ICV 20.3;12;12
2016-05-29;DHO 23.4;12;12
2016-05-29;GBZ 19.6;12;12
2016-05-29;GQD 22.1;12;12
2016-05-29;HWU 21.8;12;12
2016-05-29;ICV 20.3;12;12
2016-05-28;DHO 23.4;12;12
2016-05-28;GBZ 19.6;12;12
2016-05-28;GQD 22.1;12;12
2016-05-28;HWU 21.8;12;12
2016-05-28;ICV 20.3;12;12
2016-05-27;DHO 23.4;12;12
2016-05-27;GBZ 19.6;12;12
2016-05-27;GQD 22.1;12;12
2016-05-27;HWU 21.8;12;12
2016-05-27;ICV 20.3;12;12
2016-05-26;DHO 23.4;12;12
2016-05-26;GBZ 19.6;12;12
2016-05-26;GQD 22.1;12;12
2016-05-26;HWU 21.8;12;12
2016-05-26;ICV 20.3;12;12
2016-05-25;DHO 23.4;12;12
2016-05-25;GBZ 19.6;12;12
2016-05-25;GQD 22.1;12;12
2016-05-25;HWU 21.8;12;12
2016-05-25;ICV 20.3;12;12
2016-05-24;DHO 23.4;12;12
2016-05-24;GBZ 19.6;12;12
2016-05-24;GQD 22.1;12;12
2016-05-24;HWU 21.8;12;12
2016-05-24;ICV 20.3;12;12
2016-05-23;DHO 23.4;12;12
2016-05-23;GBZ 19.6;12;12
2016-05-23;GQD 22.1;12;12
2016-05-23;HWU 21.8;12;12
2016-05-23;ICV 20.3;12;12
2016-05-22;DHO 23.4;12;12
2016-05-22;GBZ 19.6;12;12
2016-05-22;GQD 22.1;12;12
2016-05-22;HWU 21.8;12;12
2016-05-22;ICV 20.3;12;12
2016-05-21;DHO 23.4;12;12
2016-05-21;GBZ 19.6;12;12
2016-05-21;GQD 22.1;12;12
2016-05-21;HWU 21.8;12;12
2016-05-21;ICV 20.3;12;12
2016-05-20;DHO 23.4;12;12
2016-05-20;GBZ 19.6;12;12
2016-05-20;GQD 22.1;12;12
2016-05-20;HWU 21.8;12;12
2016-05-20;ICV 20.3;12;12
