Date;Begin;;Maximum;;End;;Duration;Definition;Transmitter
;Time [UT];Qualifier;Time [UT];Qualifier;Time [UT];Qualifier;;;
2016-02-16;15:41;;15:54;;16:16;;35m;3;GQD 22.1
2016-02-16;15:41;;15:54;;16:16;;35m;3;ICV 20.3
2016-02-16;10:01;;10:08;;10:26;;25m;5;ICV 20.3
2016-02-15;16:22;;16:30;;16:48;;26m;5;DHO 23.4
2016-02-15;10:54;;11:01;;12:01;;1h 7m;5;DHO 23.4
2016-02-15;10:40;;10:48;;10:54;D;14m;4;DHO 23.4
2016-02-15;14:34;;14:48;;15:16;;42m;4;GQD 22.1
2016-02-15;10:54;;11:01;;12:01;;1h 7m;5;GQD 22.1
2016-02-15;10:40;;10:48;;10:54;D;14m;4;GQD 22.1
2016-02-15;9:28;;9:36;;9:50;;22m;4;GQD 22.1
2016-02-15;16:22;;16:30;;16:48;;26m;5;ICV 20.3
2016-02-15;14:34;;14:48;;15:16;;42m;4;ICV 20.3
2016-02-15;10:54;;11:01;;12:01;;1h 7m;5;ICV 20.3
2016-02-14;10:15;;10:30;;11:12;;57m;5;DHO 23.4
2016-02-14;12:19;;12:23;;12:31;;12m;3;GQD 22.1
2016-02-14;11:52;;12:02;;12:12;;20m;3;GQD 22.1
2016-02-14;10:15;;10:30;;11:12;;57m;5;GQD 22.1
2016-02-14;10:15;;10:30;;11:12;;57m;5;ICV 20.3
2016-02-13;15:20;;15:25;;15:41;;21m;4;DHO 23.4
2016-02-13;10:05;;10:09;;10:33;;28m;5;DHO 23.4
2016-02-13;15:20;;15:25;;15:41;;21m;4;GQD 22.1
2016-02-13;10:05;;10:09;;10:33;;28m;5;GQD 22.1
2016-02-13;15:20;;15:25;;15:41;;21m;4;ICV 20.3
2016-02-13;10:05;;10:09;;10:33;;28m;5;ICV 20.3
2016-02-12;10:39;;10:48;;11:45;;1h 6m;5;DHO 23.4
2016-02-12;10:39;;10:48;;11:45;;1h 6m;5;GQD 22.1
2016-02-12;10:39;;10:48;;11:45;;1h 6m;5;ICV 20.3
2016-02-07;11:43;;12:12;;12:41;;58m;4;DHO 23.4
2016-02-07;11:43;;12:12;;12:41;;58m;4;GQD 22.1
2016-02-07;10:19;;10:36;;10:57;;38m;3;GQD 22.1
2016-02-07;11:43;;12:12;;12:41;;58m;4;ICV 20.3
2015-12-31;10:00;;11:01;;12:18;;2h 18m;3;GQD 22.1
2015-12-29;10:22;;10:32;;10:54;;32m;4;GQD 22.1
2015-12-28;11:31;;12:22;;13:46;;2h 15m;4;GQD 22.1
2015-12-22;13:27;;13:36;;14:08;;41m;4;GQD 22.1
2015-12-22;13:27;;13:36;;14:08;;41m;4;ICV 20.3
2015-12-21;10:11;;10:20;;10:46;;35m;5;DHO 23.4
2015-12-21;10:11;;10:20;;10:46;;35m;5;GQD 22.1
2015-12-13;10:13;;10:32;;11:34;;1h 21m;5;DHO 23.4
2015-12-13;10:13;;10:32;;11:34;;1h 21m;5;GQD 22.1
2015-12-13;10:13;;10:32;;11:34;;1h 21m;5;ICV 20.3
2015-12-12;13:37;;13:45;;14:15;;38m;5;DHO 23.4
2015-12-12;11:40;;11:45;;12:01;;21m;4;DHO 23.4
2015-12-12;13:37;;13:45;;14:15;;38m;5;GQD 22.1
2015-12-12;11:40;;11:45;;12:01;;21m;4;GQD 22.1
2015-12-12;13:37;;13:45;;14:15;;38m;5;ICV 20.3
2015-11-26;12:21;;12:25;;12:37;;16m;3;GQD 22.1
2015-11-26;12:21;;12:25;;12:37;;16m;3;ICV 20.3
2015-11-24;11:46;;11:53;;12:07;;21m;3;GQD 22.1
2015-11-24;11:02;;11:09;;11:18;;16m;3;GQD 22.1
2015-11-23;13:34;;13:41;;13:53;;19m;3;GQD 22.1
2015-11-23;13:25;;13:31;;13:34;D;9m;3;GQD 22.1
2015-11-23;13:11;;13:19;;13:25;D;14m;3;GQD 22.1
2015-11-21;13:47;;13:52;;14:12;;25m;3;GQD 22.1
2015-11-21;13:47;;13:52;;14:12;;25m;3;ICV 20.3
2015-11-10;14:01;;14:12;;14:30;;29m;4;GQD 22.1
2015-11-10;14:01;;14:12;;14:30;;29m;4;ICV 20.3
2015-11-09;12:53;;13:12;;14:01;;1h 8m;5;DHO 23.4
2015-11-09;12:53;;13:12;;14:01;;1h 8m;5;GQD 22.1
2015-11-09;12:53;;13:12;;14:01;;1h 8m;5;ICV 20.3
2015-11-04;13:35;;13:48;;15:11;;1h 36m;5;DHO 23.4
2015-11-04;11:57;;12:04;;13:22;;1h 25m;5;DHO 23.4
2015-11-04;8:54;;9:00;;9:21;;27m;5;DHO 23.4
2015-11-04;13:35;;13:48;;15:11;;1h 36m;5;GQD 22.1
2015-11-04;11:57;;12:04;;13:22;;1h 25m;5;GQD 22.1
2015-11-04;8:54;;9:00;;9:21;;27m;5;GQD 22.1
2015-11-04;13:35;;13:48;;15:11;;1h 36m;5;ICV 20.3
2015-11-04;11:57;;12:04;;13:22;;1h 25m;5;ICV 20.3
2015-11-04;8:54;;9:00;;9:21;;27m;5;ICV 20.3
2015-11-02;9:52;;10:04;;10:53;;1h 1m;5;DHO 23.4
2015-11-02;9:52;;10:04;;10:53;;1h 1m;5;GQD 22.1
2015-10-30;9:53;;10:10;;11:08;;1h 15m;5;DHO 23.4
2015-10-30;8:36;;8:43;;9:07;;31m;5;DHO 23.4
2015-10-30;14:13;;14:25;;14:48;;35m;5;GQD 22.1
2015-10-30;9:53;;10:10;;11:08;;1h 15m;5;GQD 22.1
2015-10-30;8:36;;8:43;;9:07;;31m;5;GQD 22.1
2015-10-30;14:13;;14:25;;14:48;;35m;5;ICV 20.3
2015-10-30;9:53;;10:10;;11:08;;1h 15m;5;ICV 20.3
2015-10-30;8:36;;8:43;;9:07;;31m;5;ICV 20.3
2015-10-28;9:33;;9:37;;9:49;;16m;4;DHO 23.4
2015-10-28;9:33;;9:37;;9:49;;16m;4;GQD 22.1
2015-10-28;9:33;;9:37;;9:49;;16m;4;ICV 20.3
2015-10-16;13:40;;13:44;;14:03;;23m;5;DHO 23.4
2015-10-16;12:57;;13:07;;13:40;D;43m;5;DHO 23.4
2015-10-16;10:18;;10:21;;10:49;;31m;5;DHO 23.4
2015-10-16;9:01;;9:04;;9:32;;31m;5;DHO 23.4
2015-10-16;13:40;;13:44;;14:03;;23m;5;GQD 22.1
2015-10-16;12:57;;13:07;;13:40;D;43m;5;GQD 22.1
2015-10-16;10:18;;10:21;;10:49;;31m;5;GQD 22.1
2015-10-16;9:01;;9:04;;9:32;;31m;5;GQD 22.1
2015-10-16;13:40;;13:44;;14:03;;23m;5;ICV 20.3
2015-10-16;12:57;;13:07;;13:40;D;43m;5;ICV 20.3
2015-10-16;10:18;;10:21;;10:49;;31m;5;ICV 20.3
2015-10-16;9:01;;9:04;;9:32;;31m;5;ICV 20.3
2015-10-15;13:45;;13:52;;14:22;;37m;4;DHO 23.4
2015-10-15;10:45;;10:52;;11:31;;46m;5;DHO 23.4
2015-10-15;13:45;;13:52;;14:22;;37m;4;GQD 22.1
2015-10-15;10:45;;10:52;;11:31;;46m;5;GQD 22.1
2015-10-15;13:45;;13:52;;14:22;;37m;4;ICV 20.3
2015-10-15;10:45;;10:52;;11:31;;46m;5;ICV 20.3
2015-10-14;13:25;;13:32;;14:01;;36m;4;DHO 23.4
2015-10-14;13:25;;13:32;;14:01;;36m;4;GQD 22.1
2015-10-14;13:25;;13:32;;14:01;;36m;4;ICV 20.3
2015-10-13;14:08;;14:12;;15:30;;1h 22m;5;DHO 23.4
2015-10-13;14:08;;14:12;;15:30;;1h 22m;5;GQD 22.1
2015-10-13;14:08;;14:12;;15:30;;1h 22m;5;ICV 20.3
2015-10-03;13:04;;13:09;;13:28;;24m;5;DHO 23.4
2015-10-03;11:33;;11:42;;12:19;;46m;5;DHO 23.4
2015-10-03;13:04;;13:09;;13:28;;24m;5;GQD 22.1
2015-10-03;11:33;;11:42;;12:19;;46m;5;GQD 22.1
2015-10-03;10:29;;10:36;;11:02;;33m;4;GQD 22.1
2015-10-02;15:27;;15:35;;16:19;;52m;5;DHO 23.4
2015-10-02;12:20;;12:29;;13:22;;1h 2m;5;DHO 23.4
2015-10-02;11:40;;11:48;;12:20;D;40m;5;DHO 23.4
2015-10-02;8:31;;8:43;;9:37;;1h 6m;5;DHO 23.4
2015-10-02;15:27;;15:35;;16:19;;52m;5;GQD 22.1
2015-10-02;12:20;;12:29;;13:22;;1h 2m;5;GQD 22.1
2015-10-02;11:40;;11:48;;12:20;D;40m;5;GQD 22.1
2015-10-02;8:31;;8:43;;9:37;;1h 6m;5;GQD 22.1
2015-10-01;13:04;;13:12;;14:46;;1h 42m;5;DHO 23.4
2015-10-01;9:20;;9:37;;10:49;;1h 29m;5;DHO 23.4
2015-10-01;13:04;;13:12;;14:46;;1h 42m;5;GQD 22.1
2015-10-01;9:20;;9:37;;10:49;;1h 29m;5;GQD 22.1
2015-09-30;13:19;;13:22;;14:11;;52m;5;DHO 23.4
2015-09-30;10:50;;10:58;;13:05;;2h 15m;5;DHO 23.4
2015-09-30;13:19;;13:22;;14:11;;52m;5;GQD 22.1
2015-09-30;10:50;;10:58;;13:05;;2h 15m;5;GQD 22.1
2015-09-29;12:55;;13:07;;14:02;;1h 7m;5;DHO 23.4
2015-09-29;11:09;;11:19;;12:43;;1h 34m;5;DHO 23.4
2015-09-29;10:05;;10:15;;10:31;;26m;3;DHO 23.4
2015-09-29;8:47;;8:52;;9:59;;1h 12m;5;DHO 23.4
2015-09-29;12:55;;13:07;;14:02;;1h 7m;5;GQD 22.1
2015-09-29;11:09;;11:19;;12:43;;1h 34m;5;GQD 22.1
2015-09-29;10:05;;10:15;;10:31;;26m;3;GQD 22.1
2015-09-29;8:47;;8:52;;9:59;;1h 12m;5;GQD 22.1
2015-09-29;7:57;;8:10;;8:30;;33m;3;GQD 22.1
2015-09-28;14:54;;14:59;;16:07;;1h 13m;5;DHO 23.4
2015-09-28;13:02;;13:20;;14:29;;1h 27m;5;DHO 23.4
2015-09-28;12:29;;12:39;;13:02;D;33m;5;DHO 23.4
2015-09-28;11:23;;11:36;;12:29;D;1h 6m;5;DHO 23.4
2015-09-28;8:41;;9:03;;9:51;;1h 10m;5;DHO 23.4
2015-09-28;14:54;;14:59;;16:07;;1h 13m;5;GQD 22.1
2015-09-28;13:02;;13:20;;14:29;;1h 27m;5;GQD 22.1
2015-09-28;12:29;;12:39;;13:02;D;33m;5;GQD 22.1
